"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"119","bitslaw","Flash forward: #NeverTrump in 2020 - Imagine for a moment that it’s 2020. (Or, more likely very early in 2019.)... https://t.co/9MWlSkd7Ya",0,0,0,-95.712891,37.09024
"120","bjorkianrice","RT @SpryGuy: If the Electoral College doesn't reject Trump &amp; instead cast at least 270 votes for Hillary, it has failed at its sole purpose…",10,-1,1,-74.0059413,40.7127837
"121","blackrepublican","RT @denminn: Some people have made fun of #NeverTrump folk like me, but I have no regrets.  I stood on what I believed was correct.",2,2,2,-95.712891,37.09024
"122","blackrepublican","RT @alecrider: I believe in the republic. The Constitution. Our freedoms &amp; unalienable rights. Not a reactionary, nativist cult of personal…",12,0,0,-95.712891,37.09024
"123","blackrepublican","RT @akhanukov: Turns out many #NeverTrump peeps were more like #NeverTrumpLOLWhatevs!",4,1,1,-95.712891,37.09024
"124","BlackServative","RT @mimimayesTN: He gets a lot of retweets from democrats and #NeverTrump crowd. His 15 minutes of fame, I guess @BlackServative",1,1,1,-74.0059413,40.7127837
"125","blindlib5","#NeverTrump #ImpeachTrump #StillSanders https://t.co/TVReQWAsgG",0,0,0,-72.5778415,44.5588028
"126","BlogChurchWork","RT @BlogChurchWork: Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t…",2,-1,1,-77.0368707,38.9071923
"127","BlogChurchWork","RT @BlogChurchWork: Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t…",1,-1,1,-77.0368707,38.9071923
"128","BlogChurchWork","Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t.co/IHEDXVFU6s",1,-1,1,-77.0368707,38.9071923
"129","BlogChurchWork","Bc these points of DJT's corruption need to be sustained in the public eye #TheResistance #Resist #NeverTrump https://t.co/wovbzWUzOy",2,-1,1,-77.0368707,38.9071923
"130","BlogChurchWork","RT @BlogChurchWork: Op | Electors: ""That time has come, &amp; your responsibility is clear."" #DoYourJob #Resist #TheResistance #NeverTrump http…",14,1,1,-77.0368707,38.9071923
"131","blogenfreude","@SenGillibrand @SenSchumer for the people of New York &amp; everyone else, you need to get to the bottom of this hacking and quickly #nevertrump",0,0,0,-73.9712488,40.7830603
"132","BlshopandHayes","RT @AngelaBanjela: @realDonaldTrump  ""Yeah.... but not those Muslim soldiers.  Fuck them."" #assholeinchief #unfit #nevertrump #pleasestepdo…",6,-2,2,-93.2922989,37.2089572
"133","bluecorncomics","""Throughout his campaign Trump repeatedly gave permission for folks to act on their anger, their bigotry and their… https://t.co/jTHQw2iHLN",0,-1,1,-118.2436849,34.0522342
"134","Blueghost10","RT @PJamesKing: So Trump controls D.C.? Anti-Trump Women’s March Barred From Lincoln Memorial https://t.co/pmGvxWmrhC via @thedailybeast @S…",2,1,1,-77.0368707,38.9071923
"135","BlueHills50","RT @RJTheRealOne: Long story short every time he opens his mouth I become even more #NeverTrump. https://t.co/wBVPVXHcPD",7,0,0,-95.712891,37.09024
"136","bmargirl","RT @andables: Hey Conald, #yaburnt!
#nevertrump #msnbc #VoteBlue #UniteBlue #TheResistance #MAGA #resist https://t.co/5Art2ttTy3",1,0,0,-79.0192997,35.7595731
"137","bobi_gillyon","RT @SpryGuy: In case you haven't connected the dots just yet... read this:
#NeverTrump #Treason https://t.co/A1JHxAWhGf",87,-1,1,-90.6248481,37.7692167
"138","bobkosturko","No president has been so ignorant of fact and disdains fact in the way this President-elect does.
#NeverTrump https://t.co/p1dkZoTBKU",0,-1,1,-71.0588801,42.3600825
"139","bonnieblue719","RT @halsteadg048: #NeverTrump is so upset about #Trump not choosing @MittRomney that they have now joined together with @POTUS to take out…",6,0,0,-91.9623327,30.9842977
"140","boris3324","RT @co_rapunzel4: The face of crass materialism, poor taste, intolerance &amp; racism. It's also the face of the #GOP. #NeverTrump https://t.co…",223,-4,4,-78.6568942,37.4315734
"141","BostonDaveOH","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p…",1432,1,1,-82.907123,40.4172871
