"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"114","AprilTRoyal","RT @GOP: Working hard for the American people and ready to #MakeAmericaGreatAgain ‚¨áÔ∏è https://t.co/eGQYR5ZQNB",697,0,0,-79.0192997,35.7595731
"115","aretheynuts","RT @XTraceyAnn: Can't wait until 1/20/17! #AmericaFirst #FreeJared #MakeAmericaGreatAgain #PresidentTrump #FridayFeeling #FakeNews #RacistV‚Ä¶",28,0,0,-81.9495331,26.5628537
"116","ArgoJournal","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",612,0,0,-80.1300455,25.790654
"117","arrowsmithwoman","RT @kyleraccio: Louisiana: Go out and vote for @JohnKennedyLA for Senate today so he can help Pres-elect Trump #MakeAmericaGreatAgain!",6,1,1,-81.5157535,27.6648274
"118","asamjulian","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",613,0,0,-71.3824374,42.4072107
"119","AsgardianRabbit","So unless you want white countries to turn non white ur a supremacist.

Ok good happy we clarified that.‚Ä¶ https://t.co/5wu6AnUMbv",2,2,2,-120.7401386,47.7510741
"120","AsgardianRabbit","Please let @SpeakerRyan know that he will soon be tossed out of office. RT!! Spread far and wide!!

#MakeAmericaGreatAgain",2,0,0,-120.7401386,47.7510741
"121","AshXx_habiba","RT @stassi_inu: Popular Vote Doesn't Matter Ì†ΩÌ∏Ç #TriggeredIn4Words @HillaryClinton #MakeAmericaGreatAgain Ì†ºÌ∑∫Ì†ºÌ∑∏@realDonaldTrump https://t.co/9iQ‚Ä¶",1,0,0,-74.0059413,40.7127837
"122","ASoul4Blues","@FoxNews @HillaryClinton Takes one to know one. Give it up! @realDonaldTrump  #AmericaFirst #MakeAmericaGreatAgain #TRUMP #MAGA3X",0,1,1,-81.1637245,33.836081
"123","asueoffenbacker","RT @GOP: Working hard for the American people and ready to #MakeAmericaGreatAgain ‚¨áÔ∏è https://t.co/eGQYR5ZQNB",697,0,0,-75.0376707,39.8915022
"124","atheygraphics","Keep it Real #Tucker  #TuckerCarlsonTonight #MakeAmericaGreatAgain https://t.co/oeNaNEJ02P",9,0,0,-94.8775206,36.6096698
"125","auntiejul","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-71.3824374,42.4072107
"126","austin__booth","RT @Reince: Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain",1873,5,5,-88.7878678,43.7844397
"127","Austinhouse58","RT @NewtTrump: First they ignore you, then they laugh at you, then they fight you, and then you win. #MakeAmericaGreatAgain #PersonOfTheYea‚Ä¶",51,0,0,-81.5157535,27.6648274
"128","AustinWeekley18","The Donald and Verne together. What a time to be alive. #MakeAmericaGreatAgain",0,0,0,-79.9310512,32.7764749
"129","AutumnDawnPrice","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",613,0,0,-91.9819831,30.0589977
"130","averageUSgirl","RT @TCB_AK: #Trump is rocking it at the game while the crowd chants #MakeAmericaGreatAgain Ì†ºÌ∑∫Ì†ºÌ∑∏ 

#ArmyNavyGameDay
#GoArmy 
#GoNavy https://t‚Ä¶",23,0,0,-99.9018131,31.9685988
"131","aviator2332","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",613,0,0,-71.0588801,42.3600825
"132","AwesomeDude23_","RT @DemienSixx: #MakeAmericaGreatAgain Enjoy the smoke!! https://t.co/GcnmP9dI9c",56,0,0,-80.1917902,25.7616798
"133","b3hawk","RT @EagleEyeFlyer: A phrase we don't hear or read aloud enough!!!
This is @EagleEyeFlyer 
#MakeAmericaGreatAgain https://t.co/wVDMP525VT",410,0,0,-95.712891,37.09024
"134","BabyBoom4Trump","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",611,0,0,-84.2700179,37.8393332
"135","BaileyGunworks","RT @DaysOfTrump: 41 Days to #Trump : Counting down to Inauguration Day and @DaysOfTrump in the White House! #MakeAmericaGreatAgain https://‚Ä¶",57,1,1,-99.9018131,31.9685988
"136","BakerGene","Isn't it exciting to see how @realDonaldTrump is living up to his conservative campaign promises and how he plans to #MakeAmericaGreatAgain",0,1,1,-77.9819312,35.497105
"137","bakerjmw2016","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",613,0,0,-120.7401386,47.7510741
"138","BamaLady10","RT @kyleraccio: Louisiana: Go out and vote for @JohnKennedyLA for Senate today so he can help Pres-elect Trump #MakeAmericaGreatAgain!",6,1,1,-86.902298,32.3182314
"139","barb2949","RT @Reince: Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain",1873,5,5,-81.5157535,27.6648274
"140","BarbaraZaccai","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-74.3118212,41.8586493
